Category,Question,Response,Age,Gender,RaceEthnicity,RiskFactor,RiskFactorResponse,Sample_Size
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,12-17 years,Male,"White, non-Hispanic",Diabetes,No,312
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,80 years and older,Male,All races,Hypertension,Yes,501
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,All genders,All races,Diabetes,Yes,954
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,All genders,All races,All participants,Total,10421
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,All genders,"Black, non-Hispanic",All participants,Total,733
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Female,"Black, non-Hispanic",Diabetes,No,358
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,All genders,"Black, non-Hispanic",Hypertension,No,2277
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,Male,"White, non-Hispanic",Hypertension,Yes,765
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,All genders,Other,All participants,Total,332
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,All genders,"White, non-Hispanic",Hypertension,Yes,65
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Male,"Hispanic, any race",All participants,Total,61
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Female,All races,Smoking,No,2889
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Female,"Hispanic, any race",Hypertension,Yes,106
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Female,"White, non-Hispanic",Diabetes,No,774
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,Male,"Black, non-Hispanic",Hypertension,Yes,340
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,All races,Diabetes,Yes,740
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,"White, non-Hispanic",Smoking,Yes,1273
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,All races,Hypertension,No,5300
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,All genders,Other,All participants,Total,495
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Male,"Black, non-Hispanic",Hypertension,No,441
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,All genders,Other,Hypertension,Yes,49
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,"Black, non-Hispanic",Smoking,Yes,588
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Female,"White, non-Hispanic",All participants,Total,574
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,Male,"Black, non-Hispanic",Diabetes,No,325
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Female,"Hispanic, any race",Smoking,Yes,34
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,All genders,"Black, non-Hispanic",Diabetes,No,674
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,"Hispanic, any race",Smoking,No,415
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,Female,All races,Hypertension,Yes,112
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,All genders,"Hispanic, any race",Smoking,Yes,1100
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Female,All races,Diabetes,Yes,485
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,12-17 years,All genders,"Hispanic, any race",Hypertension,No,2821
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Female,"White, non-Hispanic",Smoking,Yes,182
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,All genders,"Hispanic, any race",Smoking,Yes,57
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,Female,All races,Hypertension,Yes,697
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Male,"White, non-Hispanic",Diabetes,No,722
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,Male,All races,Diabetes,Yes,30
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,All genders,Other,All participants,Total,78
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Male,"Hispanic, any race",Smoking,Yes,305
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,"White, non-Hispanic",Hypertension,No,458
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Female,All races,Hypertension,No,2624
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,All genders,All races,All participants,Total,10421
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),80 years and older,Male,All races,All participants,Total,594
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Male,All races,Diabetes,Yes,104
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Male,Other,Hypertension,Yes,30
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Female,"Black, non-Hispanic",Smoking,Yes,257
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Male,All races,Diabetes,No,1488
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Female,"Black, non-Hispanic",All participants,Total,325
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,"Hispanic, any race",Hypertension,Yes,248
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,Female,All races,Hypertension,Yes,318
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Female,"Black, non-Hispanic",Hypertension,Yes,62
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,Male,All races,All participants,Total,2118
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,Female,All races,Hypertension,No,3753
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,All genders,"White, non-Hispanic",Diabetes,No,1603
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,Male,All races,All participants,Total,4394
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,Other,Smoking,No,103
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,All races,Diabetes,No,547
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,All genders,Other,Hypertension,Yes,51
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,Female,"Hispanic, any race",Smoking,No,370
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,"Hispanic, any race",Hypertension,Yes,167
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,12-17 years,Female,All races,Hypertension,Yes,112
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,All genders,"White, non-Hispanic",Smoking,Yes,801
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,Male,All races,Hypertension,Yes,603
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,"White, non-Hispanic",Smoking,Yes,1130
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,80 years and older,All genders,"Hispanic, any race",Hypertension,No,32
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Female,"Black, non-Hispanic",Diabetes,No,476
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,40-64 years,All genders,"Hispanic, any race",All participants,Total,2373
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,All genders,"Black, non-Hispanic",Diabetes,Yes,406
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,Female,"White, non-Hispanic",Hypertension,Yes,232
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,All genders,All races,Diabetes,Yes,1483
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Male,"Hispanic, any race",Smoking,No,451
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,"White, non-Hispanic",Hypertension,Yes,1508
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Female,"Hispanic, any race",Diabetes,No,664
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,All genders,"Black, non-Hispanic",All participants,Total,120
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,All genders,"White, non-Hispanic",Hypertension,Yes,68
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,Female,"Hispanic, any race",Diabetes,Yes,119
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Male,"White, non-Hispanic",Hypertension,No,235
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Male,"White, non-Hispanic",All participants,Total,1914
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Female,"Black, non-Hispanic",All participants,Total,1010
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,All genders,"Black, non-Hispanic",Hypertension,No,2284
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,Male,All races,Diabetes,No,201
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Male,"White, non-Hispanic",Hypertension,No,187
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,Male,All races,Hypertension,No,4324
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,All genders,Other,Smoking,No,41
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Male,"White, non-Hispanic",Hypertension,No,1757
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,All genders,"Black, non-Hispanic",Diabetes,No,176
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Male,All races,Hypertension,Yes,1279
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,"White, non-Hispanic",Smoking,Yes,469
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Male,"Hispanic, any race",Hypertension,Yes,135
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Male,All races,Hypertension,Yes,554
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Female,"White, non-Hispanic",Diabetes,Yes,126
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Male,"White, non-Hispanic",Hypertension,Yes,838
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,All genders,"Hispanic, any race",Diabetes,Yes,76
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,Male,"Hispanic, any race",Diabetes,Yes,144
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,0-17 years,Female,Other,All participants,Total,59
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,Male,"Hispanic, any race",Diabetes,No,407
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,All genders,"Hispanic, any race",All participants,Total,2888
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,Female,"White, non-Hispanic",Hypertension,No,98
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,All genders,"Hispanic, any race",Hypertension,No,3150
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,All races,Smoking,No,2053
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Female,"White, non-Hispanic",Diabetes,No,774
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,All genders,"Hispanic, any race",Smoking,Yes,1085
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,All genders,All races,Diabetes,Yes,145
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Male,Other,Hypertension,No,49
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,Male,"White, non-Hispanic",Diabetes,No,234
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Female,All races,All participants,Total,5568
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,All genders,All races,Smoking,No,1043
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Female,All races,Hypertension,Yes,227
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Male,"Black, non-Hispanic",Hypertension,Yes,488
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,Female,"White, non-Hispanic",Hypertension,Yes,44
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,80 years and older,Female,All races,Smoking,Yes,269
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Female,"White, non-Hispanic",Diabetes,No,777
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Male,"Black, non-Hispanic",Smoking,No,485
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,All genders,All races,Hypertension,No,1369
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,18-39 years,Male,"Black, non-Hispanic",Smoking,Yes,283
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Male,"White, non-Hispanic",Diabetes,Yes,272
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Male,"Black, non-Hispanic",Diabetes,Yes,186
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Female,"Hispanic, any race",Smoking,Yes,314
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,All genders,"White, non-Hispanic",All participants,Total,1108
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,All genders,All races,Smoking,Yes,3273
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,All genders,"Black, non-Hispanic",Smoking,Yes,457
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,Male,"White, non-Hispanic",Diabetes,Yes,69
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,All genders,All races,Diabetes,No,1103
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Female,"Hispanic, any race",Hypertension,No,122
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,"Hispanic, any race",Smoking,Yes,158
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,All genders,"White, non-Hispanic",Diabetes,No,758
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Male,"Black, non-Hispanic",Diabetes,No,300
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Female,"Black, non-Hispanic",All participants,Total,349
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,80 years and older,Male,All races,Smoking,Yes,541
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Female,"Hispanic, any race",Smoking,No,792
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,12-17 years,Female,"Black, non-Hispanic",Hypertension,Yes,45
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,Male,"Black, non-Hispanic",All participants,Total,910
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,12-17 years,Female,"Hispanic, any race",Hypertension,No,1400
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,All genders,"Black, non-Hispanic",Hypertension,Yes,172
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,All genders,Other,Hypertension,No,192
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,All genders,Other,Smoking,No,180
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,All genders,All races,Hypertension,No,341
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,40-64 years,Female,"Hispanic, any race",All participants,Total,1197
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,"Black, non-Hispanic",Diabetes,No,358
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),12-17 years,All genders,"Black, non-Hispanic",Hypertension,Yes,97
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,All genders,All races,Smoking,Yes,3273
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,80 years and older,All genders,"White, non-Hispanic",Smoking,No,791
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,18-39 years,All genders,"White, non-Hispanic",Smoking,No,1766
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Male,"Hispanic, any race",All participants,Total,1134
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,12-17 years,Male,"White, non-Hispanic",Hypertension,Yes,31
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Male,All races,Hypertension,No,725
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,18-39 years,Female,"Hispanic, any race",Smoking,Yes,317
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,All genders,"White, non-Hispanic",Smoking,Yes,514
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,80 years and older,All genders,"Black, non-Hispanic",Smoking,No,70
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,All genders,All races,Smoking,No,4132
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,65-79 years,Male,"Hispanic, any race",All participants,Total,419
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Female,"Black, non-Hispanic",Smoking,No,568
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,Female,"Hispanic, any race",Smoking,Yes,397
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,Female,"Hispanic, any race",Diabetes,No,394
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,All genders,"Black, non-Hispanic",Hypertension,Yes,128
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Male,All races,Hypertension,Yes,1361
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,All genders,All races,Diabetes,Yes,259
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),65-79 years,All genders,All races,Diabetes,Yes,904
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,40-64 years,Female,All races,Hypertension,No,2624
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,40-64 years,All genders,"White, non-Hispanic",Diabetes,No,1535
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,12-17 years,Female,All races,All participants,Total,3744
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,All genders,"Black, non-Hispanic",Diabetes,Yes,256
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Male,All races,All participants,Total,4336
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,All genders,"Black, non-Hispanic",All participants,Total,1939
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,All races,Hypertension,No,2777
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,80 years and older,All genders,"White, non-Hispanic",Diabetes,Yes,158
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Male,All races,Hypertension,No,809
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Male,"Black, non-Hispanic",Diabetes,No,99
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,Female,"Hispanic, any race",Diabetes,No,98
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,Male,Other,All participants,Total,51
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,12-17 years,Male,All races,Diabetes,Yes,32
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,40-64 years,Male,Other,Diabetes,No,65
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Female,Other,Diabetes,No,109
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,65-79 years,All genders,Other,Hypertension,Yes,69
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,All genders,"Black, non-Hispanic",Diabetes,Yes,70
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Female,"Hispanic, any race",Smoking,Yes,306
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,18-39 years,Male,"Black, non-Hispanic",Hypertension,No,1033
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,12-17 years,All genders,"Black, non-Hispanic",Hypertension,Yes,99
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Female,"White, non-Hispanic",Hypertension,Yes,748
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,All genders,"Black, non-Hispanic",Hypertension,Yes,98
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,All genders,All races,Diabetes,No,3691
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,All genders,All races,Diabetes,No,2259
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,18-39 years,Female,All races,Diabetes,Yes,148
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,65-79 years,Female,All races,Diabetes,Yes,441
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Female,"White, non-Hispanic",Hypertension,No,607
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,All genders,Other,Hypertension,No,32
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,Female,"Hispanic, any race",Smoking,Yes,403
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,40-64 years,Female,Other,Diabetes,No,68
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Male,All races,Diabetes,No,1789
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,All genders,"White, non-Hispanic",All participants,Total,2348
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,65-79 years,Male,"White, non-Hispanic",All participants,Total,1187
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,18-39 years,Male,"Black, non-Hispanic",Diabetes,No,409
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,Female,"Black, non-Hispanic",Hypertension,No,1098
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,Male,"Black, non-Hispanic",Smoking,Yes,259
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,All genders,All races,Smoking,No,414
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,80 years and older,All genders,"Black, non-Hispanic",Hypertension,Yes,63
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,All genders,"White, non-Hispanic",Diabetes,Yes,460
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,All genders,"White, non-Hispanic",All participants,Total,4180
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Female,Other,All participants,Total,210
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,40-64 years,All genders,All races,Diabetes,No,3054
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,All genders,Other,Smoking,No,47
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,"White, non-Hispanic",Hypertension,No,2705
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,65-79 years,All genders,All races,Smoking,No,1833
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,All genders,Other,All participants,Total,306
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Male,"Hispanic, any race",All participants,Total,419
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,40-64 years,Female,"Hispanic, any race",Smoking,Yes,432
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,18-39 years,Male,All races,Hypertension,No,4304
Measured Visual Acuity,Presenting visual acuity,Presenting with monocular vision loss,40-64 years,Male,All races,Smoking,No,1786
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),18-39 years,Male,All races,Diabetes,Yes,102
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,18-39 years,Male,Other,Hypertension,No,211
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,Female,"Hispanic, any race",All participants,Total,1427
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,65-79 years,Female,"White, non-Hispanic",Hypertension,Yes,846
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,80 years and older,Female,All races,Hypertension,No,115
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,18-39 years,Male,"Hispanic, any race",Hypertension,No,1426
Measured Visual Acuity,Uncorrected Refractive Error (URE),Uncorrected refractive error (URE),40-64 years,All genders,"White, non-Hispanic",Hypertension,No,2669
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65-79 years,Female,"Hispanic, any race",Hypertension,No,128
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,80 years and older,Female,"White, non-Hispanic",Diabetes,No,177
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,40-64 years,All genders,"Hispanic, any race",Diabetes,Yes,467
Measured Visual Acuity,Best-corrected visual acuity,Any vision loss,65-79 years,Male,"White, non-Hispanic",Diabetes,No,363
Measured Visual Acuity,Presenting visual acuity,Presenting with US-defined blindness,18-39 years,Female,"Hispanic, any race",Diabetes,No,669
Measured Visual Acuity,Best-corrected visual acuity,Monocular vision loss,12-17 years,Female,All races,Hypertension,No,3753
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,40-64 years,Female,"White, non-Hispanic",Hypertension,Yes,334
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,12-17 years,Male,"Hispanic, any race",Hypertension,No,1417
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,80 years and older,All genders,"White, non-Hispanic",Smoking,No,674
Measured Visual Acuity,Best-corrected visual acuity,Normal vision,12-17 years,Male,Other,All participants,Total,144
Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65-79 years,Female,"Black, non-Hispanic",Hypertension,Yes,294
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,Female,Other,Hypertension,No,158
Measured Visual Acuity,Best-corrected visual acuity,US-defined blindness,12-17 years,Male,All races,Diabetes,No,1097
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,65-79 years,All genders,All races,All participants,Total,1846
Measured Visual Acuity,Best-corrected visual acuity,Visual impairment,80 years and older,All genders,All races,Smoking,Yes,626
Blind or Difficulty Seeing,Percentage of people blind in both eyes,Yes,18-39 years,Male,"Hispanic, any race",All participants,Total,675
Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,80 years and older,Male,All races,Diabetes,No,236
Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-79 years,Male,"White, non-Hispanic",Smoking,No,369
